S.No.,Institute Name,Course,Branch,Category,Opening Rank,Closing Rank,Fee Structure,Interest
31,LNCT,BTech,CE,OBC,308060,855881,100000,"Infrastructure Development,Construction,Geotechnical,Environmental impact assessment,Project management"
32,LNCT,BTech,CSE,ST,465935,858990,137100,"Problem-solving,Web & App development,Database,Programming,Networking"
33,LNCT,BTech,EE,EWS,730988,869314,100000,"Power System,Circuit Analysis,Signal Processing,Instrumentation,Control Systems"
34,LNCT,BTech,EE,OBC,634792,869496,100000,"Power System,Circuit Analysis,Signal Processing,Instrumentation,Control Systems"
35,LNCT,BTech,EC,OBC,200299,874946,132600,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
36,LNCT,BTech,ME,UR,133903,885933,100000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
37,LNCT,BTech,CSE,SC,167355,897844,137100,"Problem-solving,Web & App development,Database,Programming,Networking"
38,LNCT,BTech,ME,OBC,581557,899937,100000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
39,LNCT,BTech,CE,UR,218735,900363,100000,"Infrastructure Development,Construction,Geotechnical,Environmental impact assessment,Project management"
40,LNCT,BTech,Cyber Security,ST,758858,758858,123900,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
41,LNCT,BTech,Cyber Security,UR,113933,185365,123900,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
42,LNCT,BTech,Cyber Security,OBC,140073,612606,123900,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
43,LNCT,BTech,Cyber Security,EWS,138904,328213,123900,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
44,LNCTS,BTech,CSE,UR,65780,188555,120000,"Problem-solving,Web & App development,Database,Programming,Networking"
45,LNCTS,BTech,AIML,UR,81717,267960,120000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
46,LNCTS,BTech,CSE,EWS,165953,272017,120000,"Problem-solving,Web & App development,Database,Programming,Networking"
47,LNCTS,BTech,Cyber Security,UR,180673,350924,120000,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
48,LNCTS,BTech,Cyber Security,ST,363408,363408,120000,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
49,LNCTS,BTech,CSE,OBC,143193,377869,120000,"Problem-solving,Web & App development,Database,Programming,Networking"
50,LNCTS,BTech,AIML,EWS,318253,417876,120000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
51,LNCTS,BTech,EC,OBC,333568,497783,115500,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
52,LNCTS,BTech,EC,UR,209366,501336,115500,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
53,LNCTS,BTech,Cyber Security,EWS,367295,549799,120000,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
54,LNCTS,BTech,EC,EWS,397111,589200,115500,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
55,LNCTS,BTech,AIML,ST,613285,613285,120000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
56,LNCTS,BTech,CSE,ST,650640,650640,120000,"Problem-solving,Web & App development,Database,Programming,Networking"
57,LNCTS,BTech,Cyber Security,SC,432495,718578,120000,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
58,LNCTS,BTech,AIML,OBC,210244,778818,120000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
59,LNCTS,BTech,CSE,SC,256701,799380,120000,"Problem-solving,Web & App development,Database,Programming,Networking"
60,LNCTS,BTech,CE,UR,206047,846874,40000,"Infrastructure Development,Construction,Geotechnical,Environmental impact assessment,Project management"
61,LNCTS,BTech,Cyber Security,OBC,391874,902901,120000,"Networking,Cryptography,Ethical Hacking,Blockchain,Cloud Computing"
62,LNCTE,BTech,CSE,UR,62004,285811,91500,"Problem-solving,Web & App development,Database,Programming,Networking"
63,LNCTE,BTech,CSE,EWS,228113,414286,91500,"Problem-solving,Web & App development,Database,Programming,Networking"
64,LNCTE,BTech,AIML,UR,121956,428025,91500,"AI,NLP,Probability & Statistics,Computer Vision,ML"
65,LNCTE,BTech,CSEDS,UR,148565,472977,91500,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
66,LNCTE,BTech,EC,UR,332324,539545,87000,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
67,LNCTE,BTech,CSE,OBC,178461,552730,91500,"Problem-solving,Web & App development,Database,Programming,Networking"
68,LNCTE,BTech,AIML,EWS,362577,568460,91500,"AI,NLP,Probability & Statistics,Computer Vision,ML"
69,LNCTE,BTech,CSEDS,EWS,322382,611863,91500,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
70,LNCTE,BTech,EC,EWS,627402,661724,87000,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
71,LNCTE,BTech,AIML,SC,527360,707365,91500,"AI,NLP,Probability & Statistics,Computer Vision,ML"
72,LNCTE,BTech,ME,EWS,663995,797527,70000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
73,LNCTE,BTech,CSE,SC,552274,817874,91500,"Problem-solving,Web & App development,Database,Programming,Networking"
74,LNCTE,BTech,CSEDS,SC,751205,820880,91500,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
75,LNCTE,BTech,CSEDS,OBC,323823,862181,91500,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
76,LNCTE,BTech,EC,OBC,547374,882212,87000,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
77,LNCTE,BTech,CSE,ST,699682,897056,91500,"Problem-solving,Web & App development,Database,Programming,Networking"
78,LNCTE,BTech,AIML,OBC,292751,900058,91500,"AI,NLP,Probability & Statistics,Computer Vision,ML"
79,LNCTE,BTech,ME,UR,416481,905356,70000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
80,JNCT,BTech,AIML,EWS,470192,697083,72000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
81,JNCT,BTech,AIML,SC,520944,834816,72000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
82,JNCT,BTech,ME,OBC,833815,840477,50000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
83,JNCT,BTech,AIDS,UR,164909,848647,72000,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
84,JNCT,BTech,AIML,OBC,279142,853961,72000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
85,JNCT,BTech,EC,OBC,401571,854546,50000,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
86,JNCT,BTech,CSE,EWS,539863,860984,75000,"Problem-solving,Web & App development,Database,Programming,Networking"
87,JNCT,BTech,CSE,SC,539632,864865,75000,"Problem-solving,Web & App development,Database,Programming,Networking"
88,JNCT,BTech,AIDS,EWS,868142,868142,72000,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
89,JNCT,BTech,ME,UR,740007,873197,50000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
90,JNCT,BTech,AIDS,SC,632908,882983,72000,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
91,JNCT,BTech,AIML,UR,142031,889277,72000,"AI,NLP,Probability & Statistics,Computer Vision,ML"
92,JNCT,BTech,AIDS,OBC,431337,895264,72000,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
93,JNCT,BTech,CSE,OBC,322066,898839,75000,"Problem-solving,Web & App development,Database,Programming,Networking"
94,JNCT,BTech,CSE,UR,152407,899305,75000,"Problem-solving,Web & App development,Database,Programming,Networking"
95,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
96,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
97,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
98,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
99,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
100,LNCT University,BTech,CSE,,,,120000,"Algorithms, Data Structures, Operating System,Software Engineering, Computer Networks"
101,LNCT University,BTech,AIML,,,,130000,"Neural Networks,Deep Learning,Machine Learning Models,Image Recognition,Natural Language Processing"
102,LNCT University,BBA,BBA,,,,55000,"Administration,Entrepreneurship,Strategy,Finance,Leadership"
103,LNCT University,BBA,Data Analytics,,,,65000,"Data analytics,Business intelligence,Data-driven decision-making,Data management,Statistical analysis"
104,LNCT University,MBA,AIML,,,,65000,"Business Analytics,Data Science,AI Applications,Transformation,Digital Disruption"
105,LNCT University,BCom,BCom,,,,35000,"Accounting,Finance,Business ethics,Financial management,Commercial law,Banking"
106,LNCT University,BCom,Hons(Retail Mgmt & E Comm.) ,,,,45000,"E-commerce,Marketing,Retail strategy,Logistics,Pricing strategy"
107,LNCT University,B.Pharma,B.Pharma,,,,100000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
108,LNCT University,BCA,BCA,,,,60000,"Technology,Computers,Software development,IT industry,Coding"
109,LNCT University,BCA,AIML,,,,65000,"Neural Networks,Deep Learning,Machine Learning Models,Image Recognition,Natural Language Processing"
110,LNCT University,BSC(Agriculture),BSC(Agri),,,,60000,"Sustainability,Food production,Environment,Plants"
111,JNCT,BBA,BBA,,,,30000,"Administration,Entrepreneurship,Strategy,Finance,Leadership"
112,JNCT,BCom,BCom(Hons),,,,20000,"Accounting,Finance,Business ethics,Financial management,Commercial law,Banking"
113,JNCT,B.Pharma,B.Pharma,,,,85000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
114,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
115,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
116,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
117,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
118,LNCP,B.Pharma,B.Pharma,,,,120000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
119,LNCT University,BTech,CSE,,,,120000,"Problem-solving,Web & App development,Database,Programming,Networking"
120,LNCT University,BTech,AIML,,,,130000,"Neural Networks,Deep Learning,Machine Learning Models,Image Recognition,Natural Language Processing"
121,LNCT University,BBA,BBA,,,,55000,"Administration,Entrepreneurship,Strategy,Finance,Leadership"
122,LNCT University,BBA,Data Analytics,,,,65000,"Data analytics,Business intelligence,Data-driven decision-making,Data management,Statistical analysis"
123,LNCT University,BCom,BCom,,,,35000,"Accounting,Finance,Business ethics,Financial management,Commercial law,Banking"
124,LNCT University,BCom,Hons(Retail Mgmt & E Comm.) ,,,,45000,"E-commerce,Marketing,Retail strategy,Logistics,Pricing strategy"
125,LNCT University,B.Pharma,B.Pharma,,,,100000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
126,LNCT University,BCA,BCA,,,,60000,"Problem-solving,Web & App development,Database,Programming,Networking"
127,LNCT University,BCA,AIML,,,,65000,"Neural Networks,Deep Learning,Machine Learning Models,Image Recognition,Natural Language Processing"
128,LNCT University,BSC(Agriculture),BSC(Agri),,,,60000,"Sustainability,Food production,Environment,Plants"
129,JNCT,BBA,BBA,,,,30000,"Administration,Entrepreneurship,Strategy,Finance,Leadership"
130,JNCT,BCom,BCom(Hons),,,,20000,"Accounting,Finance,Business ethics,Financial management,Commercial law,Banking"
131,JNCT,B.Pharma,B.Pharma,,,,85000,"Medicine,Chemistry,Pharmaceuticals,Medications,Research"
