S.No.,Institute Name,Course,Branch,Category,Opening Rank,Closing Rank,Fee Structure,Interest
38,LNCT,BTech,ME,OBC,581557,899937,100000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
39,LNCT,BTech,CE,UR,218735,900363,100000,"Problem-Solving,Construction,Physics,Design,Mathematics"
40,LNCT,BTech,Cyber Security,ST,758858,758858,123900,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
41,LNCT,BTech,Cyber Security,UR,113933,185365,123900,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
42,LNCT,BTech,Cyber Security,OBC,140073,612606,123900,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
43,LNCT,BTech,Cyber Security,EWS,138904,328213,123900,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
44,LNCTS,BTech,CSE,UR,65780,188555,120000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
45,LNCTS,BTech,AIML,UR,81717,267960,120000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
46,LNCTS,BTech,CSE,EWS,165953,272017,120000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
47,LNCTS,BTech,Cyber Security,UR,180673,350924,120000,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
48,LNCTS,BTech,Cyber Security,ST,363408,363408,120000,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
49,LNCTS,BTech,CSE,OBC,143193,377869,120000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
50,LNCTS,BTech,AIML,EWS,318253,417876,120000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
51,LNCTS,BTech,EC,OBC,333568,497783,115500,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
52,LNCTS,BTech,EC,UR,209366,501336,115500,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
53,LNCTS,BTech,Cyber Security,EWS,367295,549799,120000,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
54,LNCTS,BTech,EC,EWS,397111,589200,115500,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
55,LNCTS,BTech,AIML,ST,613285,613285,120000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
56,LNCTS,BTech,CSE,ST,650640,650640,120000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
57,LNCTS,BTech,Cyber Security,SC,432495,718578,120000,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
58,LNCTS,BTech,AIML,OBC,210244,778818,120000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
59,LNCTS,BTech,CSE,SC,256701,799380,120000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
60,LNCTS,BTech,CE,UR,206047,846874,40000,"Problem-Solving,Construction,Physics,Design,Mathematics"
61,LNCTS,BTech,Cyber Security,OBC,391874,902901,120000,"Networking,Cryptography,Blockchain,Ethical Hacking,Programming"
62,LNCTE,BTech,CSE,UR,62004,285811,91500,"Problem-Solving,Gaming,Programming,Creativity,Technology"
63,LNCTE,BTech,CSE,EWS,228113,414286,91500,"Problem-Solving,Gaming,Programming,Creativity,Technology"
64,LNCTE,BTech,AIML,UR,121956,428025,91500,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
65,LNCTE,BTech,CSEDS,UR,148565,472977,91500,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
66,LNCTE,BTech,EC,UR,332324,539545,87000,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
67,LNCTE,BTech,CSE,OBC,178461,552730,91500,"Problem-Solving,Gaming,Programming,Creativity,Technology"
68,LNCTE,BTech,AIML,EWS,362577,568460,91500,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
69,LNCTE,BTech,CSEDS,EWS,322382,611863,91500,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
70,LNCTE,BTech,EC,EWS,627402,661724,87000,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
71,LNCTE,BTech,AIML,SC,527360,707365,91500,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
72,LNCTE,BTech,ME,EWS,663995,797527,70000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
73,LNCTE,BTech,CSE,SC,552274,817874,91500,"Problem-Solving,Gaming,Programming,Creativity,Technology"
74,LNCTE,BTech,CSEDS,SC,751205,820880,91500,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
75,LNCTE,BTech,CSEDS,OBC,323823,862181,91500,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
76,LNCTE,BTech,EC,OBC,547374,882212,87000,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
77,LNCTE,BTech,CSE,ST,699682,897056,91500,"Problem-Solving,Gaming,Programming,Creativity,Technology"
78,LNCTE,BTech,AIML,OBC,292751,900058,91500,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
79,LNCTE,BTech,ME,UR,416481,905356,70000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
80,JNCT,BTech,AIML,EWS,470192,697083,72000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
81,JNCT,BTech,AIML,SC,520944,834816,72000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
82,JNCT,BTech,ME,OBC,833815,840477,50000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
83,JNCT,BTech,AIDS,UR,164909,848647,72000,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
84,JNCT,BTech,AIML,OBC,279142,853961,72000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
85,JNCT,BTech,EC,OBC,401571,854546,50000,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
86,JNCT,BTech,CSE,EWS,539863,860984,75000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
87,JNCT,BTech,CSE,SC,539632,864865,75000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
88,JNCT,BTech,AIDS,EWS,868142,868142,72000,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
89,JNCT,BTech,ME,UR,740007,873197,50000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
90,JNCT,BTech,AIDS,SC,632908,882983,72000,"Data,Analysis,Machine Learning,Programming,Robotics"
91,JNCT,BTech,AIML,UR,142031,889277,72000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
92,JNCT,BTech,AIDS,OBC,431337,895264,72000,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
93,JNCT,BTech,CSE,OBC,322066,898839,75000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
94,JNCT,BTech,CSE,UR,152407,899305,75000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
95,LNCTU,BCA,BCA,,50,100,65000,"Technology,Programming,Problem-Solving,Analysis,Data"
96,LNCTU,BCA,BCA-AIML,,50,100,65000,"Analytics,Data,Programming,Artificial Intelligence,Research

"
97,LNCTU,BCA,BCA-AIDA,,50,100,65000,"Analytics, Data, Artificial Intelligence, Mathematics, Management

"
98,LNCTU,BSC(Agriculture),AGRICULTURE,,50,100,60000,"Sustainability,Botany,Environment,Crop Production,Research"
100,LNCP,B.PHARMA,B.PHARMA,,50,100,120000,"Chemistry,Biology,Technology,Research,Medicine"
101,LNCTE,BBA,BBA,,50,100,55000,"Management,Entrepreneurship,Communication,Finance,Marketing"
102,LNCTE,BBA, BBA-data analytics,,50,100,65000,"Analytics,Communication,Marketing,Management,Mathematics
"
103,LNCTE,BCom,BCom,,50,100,35000,"Accounting,Finance,Banking,Mathematics,Management"
104,LNCTU,BCom,BCom-HONS.,,50,100,45000,"Accounting,Finance,Banking,Human Resource,Economics"
105,JNCP,B.PHARMA,B.PHARMA,,50,100,30000,"Chemistry,Biology,Technology,Research,Medicine"
108,LNCTU,BTech,CSE,,50,100,26000,"Problem-Solving,Gaming,Programming,Creativity,Technology"
109,LNCTU,BTech,AIML,,50,100,35000,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
110,JNCT,BBA,BBA,,50,100,30000,"Management,Entrepreneurship,Communication,Finance,Marketing"
111,JNCT,BCom,BCom-HONS.,,50,100,20000,"Accounting,Finance,Banking,Human Resource,Economics"
113,LNCTU,BCA,BCA-plain,,50,100,65000,"Technology,Programming,Problem-Solving,Analysis,Data"
114,LNCTU,BCA,BCA-AIML,,50,100,65000,"Analytics,Data,Programming,Artificial Intelligence,Research

"
115,LNCTU,BCA,BCA-AIDA,,50,100,65000,"Analytics, Data, Artificial Intelligence, Mathematics, Management"
116,LNCTU,BSC(Agriculture),AGRICULTURE,,50,100,60000,"Sustainability,Botany,Environment,Crop Production,Research"
117,LNCTE,BBA,BBA,,50,100,55000,"Management,Entrepreneurship,Communication,Finance,Marketing"
118,LNCTE,BBA, BBA-data analytics,,50,100,65000,"Analytics,Communication,Marketing,Management,Mathematics
"
119,LNCTE,BCom,BCom,,50,100,35000,"Accounting,Auditing,Marketing,Business Economics,Management"
121,LNCTU,BCA,BCA-plain,,50,100,65000,"Technology,Programming,Problem-Solving,Analysis,Data"
122,LNCTU,BCA,BCA-AIML,,50,100,65000,"Analytics,Data,Programming,Artificial Intelligence,Research

"
123,LNCTU,BCA,BCA-AIDA,,50,100,65000,"Analytics, Data, Artificial Intelligence, Mathematics, Management"
124,LNCTU,BSC(Agriculture),AGRICULTURE,,50,100,60000,"Sustainability,Botany,Environment,Crop Production,Research"
126,LNCP,B.PHARMA,B.PHARMA,,50,100,120000,"Chemistry,Biology,Technology,Research,Medicine"
127,LNCTE,BBA,BBA,,50,100,55000,"Management,Entrepreneurship,Communication,Finance,Marketing"
128,LNCTE,BBA, BBA-data analytics,,50,100,65000,"Analytics,Communication,Marketing,Management,Mathematics
"
129,LNCTE,BCom,BCom,,50,100,35000,"Accounting,Finance,Banking,Mathematics,Management"
131,LNCTU,BTech,ME,,50,100,26000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
132,LNCTU,BTech,CE,,50,100,26000,"Problem-Solving,Construction,Physics,Design,Mathematics"
133,LNCTU,BTech,EC,,50,100,26000,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
134,LNCTU,BTech,CSEDS,,50,100,35000,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
135,LNCTU,BCom,BCom-plain,,50,100,10000,"Accounting,Finance,Banking,Mathematics,Management

"
136,LNCTE,BCom,E-Com. & Retail Managment,,50,100,12000,"E-commerce,Marketing,Logistics,Strategy,Management

"
138,LNCTU,BCA,BCA-plain,,50,100,65000,"Technology,Programming,Problem-Solving,Analysis,Data"
139,LNCTU,BCA,BCA-AIML,,50,100,65000,"Analytics,Data,Programming,Artificial Intelligence,Research

"
140,LNCTU,BCA,BCA-AIDA,,50,100,65000,"Analytics, Data, Artificial Intelligence, Mathematics, Management"
141,LNCTU,BSC(Agriculture),AGRICULTURE,,50,100,60000,"Sustainability,Botany,Environment,Crop Production,Research"
